fecha,banco,indice_ev_individual,indice_ev_grupal,indice_cartera_normal,indice_cartera_subestandar,indice_cartera_incumplimiento
2016-01-01,Banco BTG Pactual Chile,,100.0,0.0,0.4273169933683713,
2016-01-01,Banco Bice,,76.99194561604966,23.008054383950334,0.6868143515788147,7.242191655841965
2016-01-01,"Banco Bilbao Vizcaya Argentaria, Chile",,46.41184995220978,53.588150047790215,0.8315889744313051,10.883392347697944
2016-01-01,Banco Consorcio,,90.43010441414616,9.569895585853843,0.7855653933054344,12.246397361554727
2016-01-01,Banco Falabella,,2.1024552385004394e-10,99.99999999978975,3.237272972809774,
2016-01-01,Banco Internacional,,95.69102069149902,4.308979308500986,1.3394661177435256,3.8509147094631095
2016-01-01,Banco Itaú Chile,,54.34825514764019,45.65174485235982,0.7019100502407837,11.203722179715816
2016-01-01,Banco Paris,,0.0,100.0,0.18987777821121005,
2016-01-01,Banco Penta,,100.0,0.0,0.2817630751209365,
2016-01-01,Banco Ripley,,0.0,100.0,4.008907539911042,
2016-01-01,Banco Santander-Chile,,43.17118538011627,56.82881461988373,1.072883401537659,9.173653833883089
2016-01-01,Banco Security,,72.26896522729085,27.731034772709158,0.6752205399891081,1.606611376674943
2016-01-01,Banco de Chile,,50.90544572367076,49.09455427632924,1.2033308463245775,16.061323545450502
2016-01-01,Banco de Crédito e Inversiones,,48.64295403085914,51.35704596914087,0.544174189572916,7.811646132864033
2016-01-01,Banco de la Nación Argentina,,99.43414149317536,0.565858506824639,0.6062094840142015,0.0
2016-01-01,Banco del Estado de Chile,,38.48446155426494,61.51553844573506,1.3263139214839168,8.680783556407764
2016-01-01,Banco do Brasil S.A.,,100.0,0.0,2.2416075215990356,9.79758910571633
2016-01-01,Corpbanca,,61.71828861623484,38.28171138376516,0.7628556915160978,5.339149999190149
2016-01-01,Deutsche Bank (Chile),,,,,
2016-01-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-01-01,HSBC Bank (Chile),,99.92444707028704,0.07555292971295335,2.2116106209637856,9.266465643227374
2016-01-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-01-01,Rabobank Chile,,100.0,0.0,0.73838498908897,2.9193639850671698
2016-01-01,Scotiabank Chile,,50.979807529336476,49.020192470663524,0.8889562039348958,23.876379072083957
2016-01-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,3.1099906756280653,
2016-02-01,Banco BTG Pactual Chile,,100.0,0.0,0.3310817931790046,
2016-02-01,Banco Bice,,76.73338285745072,23.26661714254928,0.6745165608214782,7.103486925115407
2016-02-01,"Banco Bilbao Vizcaya Argentaria, Chile",,45.83545295443462,54.16454704556538,0.8337589589898569,10.675532140308453
2016-02-01,Banco Consorcio,,90.42611820365123,9.573881796348775,0.7680297403395053,11.900006832745131
2016-02-01,Banco Falabella,,2.0859440291846263e-10,99.9999999997914,3.2124498432551363,
2016-02-01,Banco Internacional,,95.73471586970824,4.265284130291762,1.3488359409755355,4.129898800725703
2016-02-01,Banco Itaú Chile,,55.10845911139736,44.89154088860265,0.716717055399329,11.549586759651662
2016-02-01,Banco Paris,,0.0,100.0,0.17476563186232993,
2016-02-01,Banco Penta,,100.0,0.0,0.09746129640323589,
2016-02-01,Banco Ripley,,0.0,100.0,3.984880240421565,
2016-02-01,Banco Santander-Chile,,42.73033602178911,57.26966397821089,1.076964192841249,8.917399494353658
2016-02-01,Banco Security,,72.41606995971954,27.583930040280475,0.715380629840924,1.5855859197560318
2016-02-01,Banco de Chile,,51.30417932102533,48.69582067897466,1.1993956880211791,14.054879381080628
2016-02-01,Banco de Crédito e Inversiones,,48.67919703758282,51.32080296241719,0.5338347704424323,8.04587094001883
2016-02-01,Banco de la Nación Argentina,,99.23450792306811,0.7654920769318918,0.6983113122765424,0.0
2016-02-01,Banco del Estado de Chile,,38.3991873520041,61.600812647995895,1.2965482831683446,8.30811403190265
2016-02-01,Banco do Brasil S.A.,,100.0,0.0,2.0858742738256146,9.828495712195116
2016-02-01,Corpbanca,,61.58596174873067,38.414038251269346,0.7558138403804084,4.956941461237124
2016-02-01,Deutsche Bank (Chile),,,,,
2016-02-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-02-01,HSBC Bank (Chile),,99.9234616710483,0.07653832895170516,2.592410296829637,9.44677289001571
2016-02-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-02-01,Rabobank Chile,,100.0,0.0,0.6542384610555874,2.685058840448165
2016-02-01,Scotiabank Chile,,50.31912658383435,49.68087341616565,0.9527584475004137,23.21165232400513
2016-02-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,1.4130585119685546,
2016-03-01,Banco BTG Pactual Chile,,100.0,0.0,0.3233060121746752,
2016-03-01,Banco Bice,,75.99067101803702,24.009328981962977,0.6795036134583835,6.703423063319828
2016-03-01,"Banco Bilbao Vizcaya Argentaria, Chile",,44.53120554329599,55.468794456704,0.8572257380179003,10.155632420477946
2016-03-01,Banco Consorcio,,90.53321141462499,9.466788585375019,0.7655244793191188,10.96944238863937
2016-03-01,Banco Falabella,,5.087454179659904e-06,99.99999491254582,3.2934875858886548,
2016-03-01,Banco Internacional,,95.85866620036458,4.141333799635421,1.3166623973758567,4.427566095687837
2016-03-01,Banco Itaú Chile,,54.27259645396659,45.72740354603341,0.6927144047129129,11.01526320592194
2016-03-01,Banco Paris,,0.0,100.0,0.1837938469558773,
2016-03-01,Banco Penta,,100.0,0.0,0.08622133188711788,
2016-03-01,Banco Ripley,,0.0,100.0,3.9709508741348163,
2016-03-01,Banco Santander-Chile,,42.408983208316386,57.591016791683614,1.103939324606388,8.54737606668695
2016-03-01,Banco Security,,72.33077825629672,27.669221743703275,0.6644894153239166,1.439406263147923
2016-03-01,Banco de Chile,,50.26635119499282,49.733648805007185,1.2140514599737684,13.72517338119229
2016-03-01,Banco de Crédito e Inversiones,,48.8020305987506,51.19796940124941,0.49875644959666643,8.07937789668
2016-03-01,Banco de la Nación Argentina,,99.27990515135548,0.720094848644516,0.6433936656933039,0.0
2016-03-01,Banco del Estado de Chile,,38.307393569440606,61.692606430559394,1.2986055716818745,8.060500210260098
2016-03-01,Banco do Brasil S.A.,,100.0,0.0,2.2350399093482793,9.8491311674036
2016-03-01,Corpbanca,,61.11171704793821,38.888282952061786,0.740328551592348,6.289909353186564
